studio_name,region,category,facebook_page_url,studio_slug,deep_link,about_paragraph,variant,post_text,headline,cta_button,image_copy,lead_magnet_exercise,lead_magnet_meta,compliance,deep_link_aikifield,deep_link_aikifield_path
City Aikido,SF Bay,Aikido dojo,https://www.facebook.com/2906218703015067,city-aikido,https://aikifield.com/games/exercises/?studio_id=city-aikido&fb_page_id=2906218703015067&exercise=wrist-grab-grounding&ref=fb_page_post,"City Aikido at 784 Geary St is the home dojo of Robert Nadeau Shihan, Richard Moon's teacher since 1971. The Page states it is intended for the friends of City Aikido and Shihan Robert Nadeau, and for those who wish to learn about O-Sensei's teachings. A community rooted in Aikido as spiritual and creative practice, not competition.",A_Lead_Magnet_Demo,"At City Aikido, you know the feeling of being centered vs. being pulled off-center.

Try this 5-min practice from Richard Moon 6th Dan (student of Robert Nadeau since '71):

WRIST GRAB GROUNDING
Partner · 5 min · Adventures in Aiki-land

A partner grabs your extended wrist and gently pushes, then pulls. Resisting the push lets them pull you easily, resisting the pull lets them push you; relaxing and 'feeling where you are' produces an effortless presence that is harder to move.

At first 50/50 - resist less, ground more. Eventually 50% → 60% ground. DBSO. KeepDoingIt.

You can do it with a real partner OR invisible partner (""we say invisible"").

This is Practice #6 from 20 exclusive practices unavailable anywhere else — daily 5-min guided practices to improve physical performance + creativity.

→ Try it free in the new Moon app (personalized for City Aikido students):

City Aikido at 784 Geary St is the home dojo of Robert Nadeau Shihan, Richard Moon's teacher since 1971. The Page states it is intended for the friend...

👉 https://aikifield.com/games/exercises/?studio_id=city-aikido&fb_page_id=2906218703015067&ref=fb_page_post&exercise=wrist-grab-grounding

#aikido #quantumAikido #RobertNadeau #RichardMoon #CreateABeautifulWorld
",City Aikido Students: Try Wrist Grab Grounding — Free 5-min,Try It Now,20 EXCLUSIVE PRACTICES,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=city-aikido&fb_page_id=2906218703015067&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=city-aikido&ref=fb_page_post
City Aikido,SF Bay,Aikido dojo,https://www.facebook.com/2906218703015067,city-aikido,https://aikifield.com/games/exercises/?studio_id=city-aikido&fb_page_id=2906218703015067&exercise=wrist-grab-grounding&ref=fb_page_post,"City Aikido at 784 Geary St is the home dojo of Robert Nadeau Shihan, Richard Moon's teacher since 1971. The Page states it is intended for the friends of City Aikido and Shihan Robert Nadeau, and for those who wish to learn about O-Sensei's teachings. A community rooted in Aikido as spiritual and creative practice, not competition.",B_Invisible_Partner,"No partner? No problem. ""We say invisible.""

WRIST GRAB GROUNDING — the simplest exercise from Quantum Aikido.

How: Extend your wrist. Imaginary partner holds and gently pushes, then pulls. Don't resist — relax and 'feel where you are'. You'll feel an effortless presence that's harder to move.

Aikido dojo at City Aikido is about city aikido at 784 geary st is the home dojo of robert nadeau shihan, richard moon's teacher since 1... This practice adds the missing layer: creativity as a physical skill.

At first 50/50 you resist less and ground more. After a while resistance becomes hard to see from outside but you feel it inside. Eventually 60% ground.

Then:
Feel
into the center
of your central core
even by drops
in ever finer adjustments

— Richard Moon

Free in Moon app — 20 exclusive practices by Richard Moon 6th Dan, unavailable anywhere else.

→ Personalized for City Aikido: https://aikifield.com/games/exercises/?studio_id=city-aikido&fb_page_id=2906218703015067&ref=fb_page_post&exercise=wrist-grab-grounding

Practice creativity as a physical skill.
",Move Better. Create More. — 5-min Wrist Grab Practice,Download App,MOVE BETTER. CREATE MORE.,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=city-aikido&fb_page_id=2906218703015067&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=city-aikido&ref=fb_page_post
City Aikido,SF Bay,Aikido dojo,https://www.facebook.com/2906218703015067,city-aikido,https://aikifield.com/games/exercises/?studio_id=city-aikido&fb_page_id=2906218703015067&exercise=wrist-grab-grounding&ref=fb_page_post,"City Aikido at 784 Geary St is the home dojo of Robert Nadeau Shihan, Richard Moon's teacher since 1971. The Page states it is intended for the friends of City Aikido and Shihan Robert Nadeau, and for those who wish to learn about O-Sensei's teachings. A community rooted in Aikido as spiritual and creative practice, not competition.",C_DBso_KeepDoingIt,"Drop Back, Sink, Open. KeepDoingIt.

The most powerful practice is presented first — and Wrist Grab Grounding is where you feel it with a partner.

Partner grabs your extended wrist, gently pushes then pulls. Resisting push = easy to pull. Resisting pull = easy to push. Relaxing and 'feeling where you are' = effortless presence, harder to move.

SF Bay movers at City Aikido — this was made for you. Solo or partner, real or invisible.

DBSO. 50% → 60% ground. KeepDoingIt.

From Quantum Aikido Book of Exercises — 20 exclusive practices unavailable anywhere else to improve physical performance + creativity. Student of Robert Nadeau since '71.

Free 5-min guided version → https://aikifield.com/games/exercises/?studio_id=city-aikido&fb_page_id=2906218703015067&ref=fb_page_post&exercise=wrist-grab-grounding

#CreateABeautifulWorld #MoonSensei
",Practice Creativity — Wrist Grab Grounding for City Aikido,Start Free Trial,PRACTICE CREATIVITY,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=city-aikido&fb_page_id=2906218703015067&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=city-aikido&ref=fb_page_post
Aikido San Francisco,SF Bay,Aikido dojo,https://www.facebook.com/182868542236722,aikido-san-francisco,https://aikifield.com/games/exercises/?studio_id=aikido-san-francisco&fb_page_id=182868542236722&exercise=wrist-grab-grounding&ref=fb_page_post,"Opened in 1986 in SOMA, We welcome everyone to learn Aikido in a positive supportive environment. Longest-running SF dojo, beginner-friendly, community dojo vibe.",A_Lead_Magnet_Demo,"At Aikido San Francisco, you know the feeling of being centered vs. being pulled off-center.

Try this 5-min practice from Richard Moon 6th Dan (student of Robert Nadeau since '71):

WRIST GRAB GROUNDING
Partner · 5 min · Adventures in Aiki-land

A partner grabs your extended wrist and gently pushes, then pulls. Resisting the push lets them pull you easily, resisting the pull lets them push you; relaxing and 'feeling where you are' produces an effortless presence that is harder to move.

At first 50/50 - resist less, ground more. Eventually 50% → 60% ground. DBSO. KeepDoingIt.

You can do it with a real partner OR invisible partner (""we say invisible"").

This is Practice #6 from 20 exclusive practices unavailable anywhere else — daily 5-min guided practices to improve physical performance + creativity.

→ Try it free in the new Moon app (personalized for Aikido San Francisco students):

Opened in 1986 in SOMA, We welcome everyone to learn Aikido in a positive supportive environment. Longest-running SF dojo, beginner-friendly, communit...

👉 https://aikifield.com/games/exercises/?studio_id=aikido-san-francisco&fb_page_id=182868542236722&ref=fb_page_post&exercise=wrist-grab-grounding

#aikido #quantumAikido #RobertNadeau #RichardMoon #CreateABeautifulWorld
",Aikido San Francisco Students: Try Wrist Grab Grounding — Free 5-min,Try It Now,20 EXCLUSIVE PRACTICES,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=aikido-san-francisco&fb_page_id=182868542236722&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=aikido-san-francisco&ref=fb_page_post
Aikido San Francisco,SF Bay,Aikido dojo,https://www.facebook.com/182868542236722,aikido-san-francisco,https://aikifield.com/games/exercises/?studio_id=aikido-san-francisco&fb_page_id=182868542236722&exercise=wrist-grab-grounding&ref=fb_page_post,"Opened in 1986 in SOMA, We welcome everyone to learn Aikido in a positive supportive environment. Longest-running SF dojo, beginner-friendly, community dojo vibe.",B_Invisible_Partner,"No partner? No problem. ""We say invisible.""

WRIST GRAB GROUNDING — the simplest exercise from Quantum Aikido.

How: Extend your wrist. Imaginary partner holds and gently pushes, then pulls. Don't resist — relax and 'feel where you are'. You'll feel an effortless presence that's harder to move.

Aikido dojo at Aikido San Francisco is about opened in 1986 in soma, we welcome everyone to learn aikido in a positive supportive environment. lo... This practice adds the missing layer: creativity as a physical skill.

At first 50/50 you resist less and ground more. After a while resistance becomes hard to see from outside but you feel it inside. Eventually 60% ground.

Then:
Feel
into the center
of your central core
even by drops
in ever finer adjustments

— Richard Moon

Free in Moon app — 20 exclusive practices by Richard Moon 6th Dan, unavailable anywhere else.

→ Personalized for Aikido San Francisco: https://aikifield.com/games/exercises/?studio_id=aikido-san-francisco&fb_page_id=182868542236722&ref=fb_page_post&exercise=wrist-grab-grounding

Practice creativity as a physical skill.
",Move Better. Create More. — 5-min Wrist Grab Practice,Download App,MOVE BETTER. CREATE MORE.,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=aikido-san-francisco&fb_page_id=182868542236722&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=aikido-san-francisco&ref=fb_page_post
Aikido San Francisco,SF Bay,Aikido dojo,https://www.facebook.com/182868542236722,aikido-san-francisco,https://aikifield.com/games/exercises/?studio_id=aikido-san-francisco&fb_page_id=182868542236722&exercise=wrist-grab-grounding&ref=fb_page_post,"Opened in 1986 in SOMA, We welcome everyone to learn Aikido in a positive supportive environment. Longest-running SF dojo, beginner-friendly, community dojo vibe.",C_DBso_KeepDoingIt,"Drop Back, Sink, Open. KeepDoingIt.

The most powerful practice is presented first — and Wrist Grab Grounding is where you feel it with a partner.

Partner grabs your extended wrist, gently pushes then pulls. Resisting push = easy to pull. Resisting pull = easy to push. Relaxing and 'feeling where you are' = effortless presence, harder to move.

SF Bay movers at Aikido San Francisco — this was made for you. Solo or partner, real or invisible.

DBSO. 50% → 60% ground. KeepDoingIt.

From Quantum Aikido Book of Exercises — 20 exclusive practices unavailable anywhere else to improve physical performance + creativity. Student of Robert Nadeau since '71.

Free 5-min guided version → https://aikifield.com/games/exercises/?studio_id=aikido-san-francisco&fb_page_id=182868542236722&ref=fb_page_post&exercise=wrist-grab-grounding

#CreateABeautifulWorld #MoonSensei
",Practice Creativity — Wrist Grab Grounding for Aikido San Francisco,Start Free Trial,PRACTICE CREATIVITY,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=aikido-san-francisco&fb_page_id=182868542236722&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=aikido-san-francisco&ref=fb_page_post
San Francisco Aikikai,SF Bay,Aikido dojo,https://www.facebook.com/167108583032,san-francisco-aikikai,https://aikifield.com/games/exercises/?studio_id=san-francisco-aikikai&fb_page_id=167108583032&exercise=wrist-grab-grounding&ref=fb_page_post,"San Francisco Aikikai LLC provides instruction in the non-competitive martial art of Aikido, and is a member of the United States Aikido Federation under Yamada Shihan. Welcomes observers in-person and on Zoom.",A_Lead_Magnet_Demo,"At San Francisco Aikikai, you know the feeling of being centered vs. being pulled off-center.

Try this 5-min practice from Richard Moon 6th Dan (student of Robert Nadeau since '71):

WRIST GRAB GROUNDING
Partner · 5 min · Adventures in Aiki-land

A partner grabs your extended wrist and gently pushes, then pulls. Resisting the push lets them pull you easily, resisting the pull lets them push you; relaxing and 'feeling where you are' produces an effortless presence that is harder to move.

At first 50/50 - resist less, ground more. Eventually 50% → 60% ground. DBSO. KeepDoingIt.

You can do it with a real partner OR invisible partner (""we say invisible"").

This is Practice #6 from 20 exclusive practices unavailable anywhere else — daily 5-min guided practices to improve physical performance + creativity.

→ Try it free in the new Moon app (personalized for San Francisco Aikikai students):

San Francisco Aikikai LLC provides instruction in the non-competitive martial art of Aikido, and is a member of the United States Aikido Federation un...

👉 https://aikifield.com/games/exercises/?studio_id=san-francisco-aikikai&fb_page_id=167108583032&ref=fb_page_post&exercise=wrist-grab-grounding

#aikido #quantumAikido #RobertNadeau #RichardMoon #CreateABeautifulWorld
",San Francisco Aikikai Students: Try Wrist Grab Grounding — Free 5-min,Try It Now,20 EXCLUSIVE PRACTICES,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=san-francisco-aikikai&fb_page_id=167108583032&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=san-francisco-aikikai&ref=fb_page_post
San Francisco Aikikai,SF Bay,Aikido dojo,https://www.facebook.com/167108583032,san-francisco-aikikai,https://aikifield.com/games/exercises/?studio_id=san-francisco-aikikai&fb_page_id=167108583032&exercise=wrist-grab-grounding&ref=fb_page_post,"San Francisco Aikikai LLC provides instruction in the non-competitive martial art of Aikido, and is a member of the United States Aikido Federation under Yamada Shihan. Welcomes observers in-person and on Zoom.",B_Invisible_Partner,"No partner? No problem. ""We say invisible.""

WRIST GRAB GROUNDING — the simplest exercise from Quantum Aikido.

How: Extend your wrist. Imaginary partner holds and gently pushes, then pulls. Don't resist — relax and 'feel where you are'. You'll feel an effortless presence that's harder to move.

Aikido dojo at San Francisco Aikikai is about san francisco aikikai llc provides instruction in the non-competitive martial art of aikido, and is ... This practice adds the missing layer: creativity as a physical skill.

At first 50/50 you resist less and ground more. After a while resistance becomes hard to see from outside but you feel it inside. Eventually 60% ground.

Then:
Feel
into the center
of your central core
even by drops
in ever finer adjustments

— Richard Moon

Free in Moon app — 20 exclusive practices by Richard Moon 6th Dan, unavailable anywhere else.

→ Personalized for San Francisco Aikikai: https://aikifield.com/games/exercises/?studio_id=san-francisco-aikikai&fb_page_id=167108583032&ref=fb_page_post&exercise=wrist-grab-grounding

Practice creativity as a physical skill.
",Move Better. Create More. — 5-min Wrist Grab Practice,Download App,MOVE BETTER. CREATE MORE.,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=san-francisco-aikikai&fb_page_id=167108583032&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=san-francisco-aikikai&ref=fb_page_post
San Francisco Aikikai,SF Bay,Aikido dojo,https://www.facebook.com/167108583032,san-francisco-aikikai,https://aikifield.com/games/exercises/?studio_id=san-francisco-aikikai&fb_page_id=167108583032&exercise=wrist-grab-grounding&ref=fb_page_post,"San Francisco Aikikai LLC provides instruction in the non-competitive martial art of Aikido, and is a member of the United States Aikido Federation under Yamada Shihan. Welcomes observers in-person and on Zoom.",C_DBso_KeepDoingIt,"Drop Back, Sink, Open. KeepDoingIt.

The most powerful practice is presented first — and Wrist Grab Grounding is where you feel it with a partner.

Partner grabs your extended wrist, gently pushes then pulls. Resisting push = easy to pull. Resisting pull = easy to push. Relaxing and 'feeling where you are' = effortless presence, harder to move.

SF Bay movers at San Francisco Aikikai — this was made for you. Solo or partner, real or invisible.

DBSO. 50% → 60% ground. KeepDoingIt.

From Quantum Aikido Book of Exercises — 20 exclusive practices unavailable anywhere else to improve physical performance + creativity. Student of Robert Nadeau since '71.

Free 5-min guided version → https://aikifield.com/games/exercises/?studio_id=san-francisco-aikikai&fb_page_id=167108583032&ref=fb_page_post&exercise=wrist-grab-grounding

#CreateABeautifulWorld #MoonSensei
",Practice Creativity — Wrist Grab Grounding for San Francisco Aikikai,Start Free Trial,PRACTICE CREATIVITY,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=san-francisco-aikikai&fb_page_id=167108583032&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=san-francisco-aikikai&ref=fb_page_post
Bay Marin Aikido,SF Bay,Aikido dojo,https://www.facebook.com/bay-marin-aikido-285109498904,bay-marin-aikido,https://aikifield.com/games/exercises/?studio_id=bay-marin-aikido&fb_page_id=bay-marin-aikido-285109498904&exercise=wrist-grab-grounding&ref=fb_page_post,Small community dojo in San Rafael described as friendly and relaxed teaching style. Focus on inclusive Aikido for all ages in Marin.,A_Lead_Magnet_Demo,"At Bay Marin Aikido, you know the feeling of being centered vs. being pulled off-center.

Try this 5-min practice from Richard Moon 6th Dan (student of Robert Nadeau since '71):

WRIST GRAB GROUNDING
Partner · 5 min · Adventures in Aiki-land

A partner grabs your extended wrist and gently pushes, then pulls. Resisting the push lets them pull you easily, resisting the pull lets them push you; relaxing and 'feeling where you are' produces an effortless presence that is harder to move.

At first 50/50 - resist less, ground more. Eventually 50% → 60% ground. DBSO. KeepDoingIt.

You can do it with a real partner OR invisible partner (""we say invisible"").

This is Practice #6 from 20 exclusive practices unavailable anywhere else — daily 5-min guided practices to improve physical performance + creativity.

→ Try it free in the new Moon app (personalized for Bay Marin Aikido students):

Small community dojo in San Rafael described as friendly and relaxed teaching style. Focus on inclusive Aikido for all ages in Marin....

👉 https://aikifield.com/games/exercises/?studio_id=bay-marin-aikido&fb_page_id=bay-marin-aikido-285109498904&ref=fb_page_post&exercise=wrist-grab-grounding

#aikido #quantumAikido #RobertNadeau #RichardMoon #CreateABeautifulWorld
",Bay Marin Aikido Students: Try Wrist Grab Grounding — Free 5-min,Try It Now,20 EXCLUSIVE PRACTICES,Wrist Grab Grounding,"Partner · 5 min · Adventures in Aiki-land (R. Moon, 2010)",20 exclusive practices by Richard Moon unavailable anywhere else,https://aikifield.com/games/exercises/?studio_id=bay-marin-aikido&fb_page_id=bay-marin-aikido-285109498904&exercise=wrist-grab-grounding&ref=fb_page_post,https://aikifield.com/games/exercises/wrist-grab-grounding?studio_id=bay-marin-aikido&ref=fb_page_post
